Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413585,3391955,496,18,13,-96.5
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413495,3391845,491,18,6,-84.43
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413565,3391935,495,0,13,-95.0
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413455,3391885,492,0,6,-105.67
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413730,3391770,495,18,13,-110.33
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413460,3391920,493,0,13,-91.33
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413440,3391900,493,18,13,-98.67
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413725,3391775,495,0,13,-109.75
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413575,3391925,495,0,5,-95.33
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413570,3391930,495,0,13,-96.8
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413470,3391910,493,0,5,-89.0
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413500,3391880,492,18,13,-89.6
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413485,3391855,491,18,6,-86.31
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413490,3391850,491,18,6,-85.4
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413510,3391870,492,18,13,-86.17
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413505,3391875,492,18,13,-88.21
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413480,3391860,491,18,6,-88.07
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413555,3391985,496,0,13,-98.6
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413740,3391800,495,0,5,-114.0
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413475,3391905,493,0,5,-93.6
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413515,3391865,492,0,5,-88.0
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413560,3391940,495,0,5,-95.8
111901,413425.0,3391875.0,23,80,6,9,2585.0,12.2,492,0,5,413885,3391830,496,0,6,-110.0
