Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413490,3391850,491,18,6,-90.67
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413495,3391845,491,18,6,-84.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413515,3391865,492,0,5,-100.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413720,3391780,495,0,5,-119.2
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413725,3391775,495,0,13,-117.11
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413480,3391860,491,18,6,-86.25
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413485,3391855,491,18,6,-85.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413740,3391800,495,0,5,-120.25
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413745,3391795,495,0,5,-123.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413675,3391705,495,0,5,-103.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413670,3391710,495,0,5,-85.8
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413850,3391795,495,18,13,-117.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413730,3391675,494,0,5,-94.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413750,3391655,494,0,13,-94.45
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413725,3391670,494,0,5,-91.71
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413755,3391660,494,0,5,-93.87
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413720,3391665,494,0,5,-89.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413745,3391650,494,0,13,-91.6
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413735,3391680,494,18,5,-97.67
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413740,3391645,495,0,5,-91.91
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413455,3391750,491,18,5,-100.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413460,3391735,492,0,13,-98.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413465,3391740,492,0,13,-98.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413690,3391710,495,0,5,-85.67
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413720,3391760,495,0,5,-114.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413710,3391690,494,18,5,-95.67
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413785,3391615,494,0,12,-90.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413715,3391685,494,0,13,-96.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413790,3391610,493,0,12,-93.75
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413700,3391700,494,0,5,-87.2
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413770,3391630,494,0,6,-94.18
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413775,3391625,494,0,6,-94.33
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413765,3391635,494,0,5,-92.17
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413760,3391640,494,0,13,-91.8
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413705,3391695,494,0,5,-95.33
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413780,3391620,494,0,6,-99.5
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413220,3391590,494,0,6,-98.57
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413235,3391595,494,0,5,-101.0
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413215,3391575,494,0,6,-99.25
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413205,3391565,494,0,6,-96.75
112001,413425.0,3391875.0,23,200,6,6,2585.0,9.2,492,0,5,413200,3391570,494,0,6,-95.0
